Rhizobium phaseoli
Pseudoalteromonas prydzensis
Xanthomonas axonopodis
Thermus thermophilus
Deinococcus reticulitermitis
Geobacillus lituanicus
Saccharopolyspora antimicrobica
Rhizobium tubonense
Bifidobacterium saeculare
Enterococcus gallinarum
Aeromonas piscicola
Janibacter anophelis
Spiroplasma chrysopicola
Sphingomonas aurantiaca
Rhodococcus tukisamuensis
Streptacidiphilus neutrinimicus
Geodermatophilus obscurus
Lactococcus piscium
Beijerinckia mobilis
Frateuria aurantia
Sphaerochaeta pleomorpha
Paenibacillus harenae
Defluviitoga tunisiensis
Streptomyces niger
Enterococcus silesiacus
Paenibacillus glucanolyticus
Streptomyces rochei
Diplorickettsia massiliensis
Planomonospora sphaerica
Pseudomonas caeni
Streptococcus parauberis
Cellulomonas bogoriensis
Dactylosporangium aurantiacum
Pectobacterium atrosepticum
Kluyvera georgiana
Leptospira meyeri
Neisseria elongata
Nitrincola lacisaponensis
Vibrio variabilis
Eggerthia catenaformis
Roseovarius tolerans
Nocardia kruczakiae
Thauera terpenica
Staphylococcus muscae
Streptomyces megasporus
Sphingomonas melonis
Methylobacterium aquaticum
Fangia hongkongensis
Nocardia coubleae
Hyphomonas jannaschiana
Neisseria perflava
Streptomyces curacoi
Nocardia cerradoensis
Pseudomonas pachastrellae
Bacillus halodurans
Bacteroides coprophilus
Gracilibacillus dipsosauri
Xenorhabdus bovienii
Delftia tsuruhatensis
Ochrobactrum pseudogrignonense
Verrucosispora maris
Halolactibacillus miurensis
Asaia platycodi
Streptomyces microflavus
Alicyclobacillus ferrooxydans
Microbacterium lacus
Sulfurovum lithotrophicum
Sphingomonas pruni
Proteiniphilum acetatigenes
Dictyoglomus turgidum
Halorhodospira halochloris
Thermus oshimai
Pseudomonas argentinensis
Fusobacterium nucleatum
Isobaculum melis
Acidomonas methanolica
Bacillus aryabhattai
Chryseobacterium gambrini
Terasakiella pusilla
Streptococcus mitis
Vibrio halioticoli
Mycoplasma arginini
Empedobacter brevis
Acidovorax konjaci
Leucobacter chromiiresistens
Streptacidiphilus carbonis
Mycobacterium haemophilum
Paracoccus yeei
Streptomyces griseofuscus
Mycobacterium heidelbergense
Variovorax boronicumulans
Deinococcus grandis
Virgibacillus halodenitrificans
Paucisalibacillus globulus
Oleiphilus messinensis
Rhodococcus zopfii
Paenibacillus curdlanolyticus
Bacillus simplex
Sulfurospirillum arsenophilum
Prevotella multiformis
Flavobacterium haoranii
Leuconostoc citreum
Holdemania filiformis
Alistipes shahii
Bacillus selenatarsenatis
Bacillus methanolicus
Ktedonobacter racemifer
Lentzea albidocapillata
Cellvibrio japonicus
Moraxella cuniculi
Streptomyces wedmorensis
Prevotella falsenii
Dialister pneumosintes
Nocardiopsis halotolerans
Herbidospora cretacea
Mycobacterium kyorinense
Algoriphagus locisalis
Streptomyces rimosus
Planococcus maritimus
Thioclava pacifica
Psychrobacter arcticus
Clostridium estertheticum
Alteromonas macleodii
Roseovarius mucosus
Actinomyces timonensis
Streptomyces viridochromogenes
Streptomyces albovinaceus
Paenibacillus alvei
Leminorella grimontii
Desulfopila aestuarii
Staphylococcus epidermidis
Idiomarina loihiensis
Selenomonas flueggei
Acetobacter senegalensis
Legionella cincinnatiensis
Enterococcus canis
Nocardia yamanashiensis
Fodinicurvata fenggangensis
Aquimarina agarilytica
Clostridium grantii
Oceanobacillus caeni
Shuttleworthia satelles
Bacillus novalis
Agitococcus lubricus
Pontibacillus marinus
Acinetobacter soli
Arenibacter echinorum
Enterobacter cancerogenus
Micromonospora echinofusca
Lactobacillus alimentarius
Streptococcus urinalis
Aidingimonas halophila
Pseudomonas lundensis
Vibrio lentus
Thiocapsa roseopersicina
Moraxella ovis
Lactobacillus coleohominis
Chitinilyticum litopenaei
Lactobacillus composti
Lactobacillus hammesii
Chryseobacterium joostei
Oceanobacter kriegii
Desulfurispirillum indicum
Moorella mulderi
Simonsiella muelleri
Streptococcus peroris
Varibaculum cambriense
Rubrobacter radiotolerans
Chitinophaga pinensis
Vibrio caribbeanicus
Gordonia namibiensis
Ferrimonas marina
Pseudoflavonifractor capillosus
Thermonema rossianum
Nitrobacter hamburgensis
Caldanaerovirga acetigignens
Granulicatella adiacens
Pseudomonas bauzanensis
Fastidiosipila sanguinis
Paenibacillus barengoltzii
Actinoalloteichus cyanogriseus
Propionibacterium cyclohexanicum
Prauserella marina
Agrococcus casei
Nocardia ignorata
Chlorobium ferrooxidans
Slackia isoflavoniconvertens
Neisseria weaveri
Chryseobacterium daeguense
Jejuia pallidilutea
Mycobacterium chubuense
Haemophilus pittmaniae
Yersinia frederiksenii
Stenotrophomonas ginsengisoli
Conchiformibius kuhniae
Murinocardiopsis flavida
Micromonospora lupini
Arenicella xantha
Gramella portivictoriae
Campylobacter fetus
Dyella marensis
Anaeromyxobacter dehalogenans
Megasphaera cerevisiae
Arcobacter nitrofigilis
Stenotrophomonas terrae
Lactobacillus acidifarinae
Nocardia altamirensis
Veillonella rodentium
Methylobacterium radiotolerans
Serratia plymuthica
Pediococcus parvulus
Flavobacterium rivuli
Butyrivibrio fibrisolvens
Lentzea kentuckyensis
Arenibacter troitsensis
Paenibacillus agaridevorans
Lactobacillus namurensis
Arsenophonus nasoniae
Saccharomonospora paurometabolica
Paenibacillus illinoisensis
Sphingobium chlorophenolicum
Nitratireductor aquibiodomus
Chryseobacterium hominis
Acetobacter indonesiensis
Lactobacillus ghanensis
Marinitoga piezophila
Acetivibrio ethanolgignens
Lactobacillus paralimentarius
Thalassospira lucentensis
Streptomyces recifensis
Amorphus coralli
Aliivibrio fischeri
Staphylococcus lugdunensis
Shewanella woodyi
Methylocystis rosea
Prevotella pallens
Tetragenococcus solitarius
Photobacterium profundum
Nocardia sienata
Listeria welshimeri
Geosporobacter subterraneus
Xenorhabdus cabanillasii
Photobacterium angustum
Alishewanella agri
Serratia symbiotica
Alcanivorax jadensis
Simiduia agarivorans
Acinetobacter baumannii
Aestuariimicrobium kwangyangense
Dechloromonas denitrificans
Erwinia toletana
Parascardovia denticolens
Corynebacterium accolens
Bacillus subtilis
Streptomyces griseoaurantiacus
Bradyrhizobium liaoningense
Bartonella quintana
Yersinia pestis
Erysipelothrix rhusiopathiae
Streptomyces chattanoogensis
Virgibacillus pantothenticus
Staphylococcus microti
Actinomyces odontolyticus
Anaeromusa acidaminophila
Halomonas korlensis
Paenibacillus panacisoli
Vibrio owensii
Thermodesulfobacterium commune
Lactobacillus sanfranciscensis
Microbacterium ginsengisoli
Yersinia bercovieri
Ochrobactrum grignonense
Bifidobacterium coryneforme
Alloiococcus otitis
Micromonospora purpureochromogenes
Jeotgalibacillus marinus
Citrobacter freundii
Dyadobacter fermentans
Advenella kashmirensis
Chlamydophila pneumoniae
Leeuwenhoekiella palythoae
Corynebacterium striatum
Staphylococcus sciuri
Andreprevotia chitinilytica
Quadrisphaera granulorum
Knoellia subterranea
Mycobacterium smegmatis
Arthrobacter psychrochitiniphilus
Saccharibacillus sacchari
Carnobacterium alterfunditum
Anaerolinea thermolimosa
Paenibacillus campinasensis
Streptomyces parvulus
Natronincola peptidivorans
Anoxybacillus thermarum
Xanthomonas codiaei
Roseicyclus mahoneyensis
Saccharibacillus kuerlensis
Streptomyces puniceus
Desulfuribacillus alkaliarsenatis
Sulfobacillus thermosulfidooxidans
Helicobacter hepaticus
Microbacterium barkeri
Pectobacterium betavasculorum
Cellulophaga algicola
Lactococcus plantarum
Thiomonas intermedia
Meiothermus silvanus
Dasania marina
Desulfatibacillum aliphaticivorans
Fervidobacterium gondwanense
Maribacter arcticus
Desulfovibrio mexicanus
Chlorobaculum limnaeum
Anaerophaga thermohalophila
Marinilactibacillus psychrotolerans
Actinopolyspora halophila
Pedobacter oryzae
Psychroflexus tropicus
Oxobacter pfennigii
Streptomyces xanthophaeus
Corynebacterium resistens
Mycobacterium terrae
Mannheimia varigena
Streptomyces jietaisiensis
Jiangella gansuensis
Shewanella baltica
Thalassolituus oleivorans
Vibrio gazogenes
Halomonas hydrothermalis
Rhodococcus pyridinivorans
Actinomyces graevenitzii
Succiniclasticum ruminis
Enterococcus italicus
Actinomyces johnsonii
Lactobacillus pontis
Telmatospirillum siberiense
Acetobacter aceti
Kribbella flavida
Enterococcus hirae
Salinicola socius
Pseudomonas migulae
Aeromonas schubertii
Simplicispira psychrophila
Shewanella pealeana
Nocardia paucivorans
Streptomyces ochraceiscleroticus
Formivibrio citricus
Chelatococcus sambhunathii
Schlesneria paludicola
Viridibacillus arenosi
Micromonospora coriariae
Pseudomonas flavescens
Amycolatopsis saalfeldensis
Methylobacillus glycogenes
Pseudoalteromonas mariniglutinosa
Delftia lacustris
Lactobacillus nodensis
Kingella denitrificans
Streptomyces griseoplanus
Bacillus azotoformans
Marinobacter algicola
Maribacter polysiphoniae
Cesiribacter andamanensis
Thermodesulforhabdus norvegica
Oleispira antarctica
Mycoplasma orale
Clostridium scatologenes
Brachybacterium alimentarium
Bifidobacterium catenulatum
Salinibacter ruber
Blautia hansenii
Pelosinus fermentans
Vibrio celticus
Acidiferrobacter thiooxydans
Rhodovulum sulfidophilum
Shewanella sediminis
Thalassobius gelatinovorus
Cytophaga aurantiaca
Reyranella massiliensis
Sphingopyxis alaskensis
Gillisia limnaea
Lactobacillus murinus
Helicobacter fennelliae
Vibrio brasiliensis
Pseudomonas lurida
Perlucidibaca piscinae
Chitinophaga sancti
Cedecea neteri
Pseudomonas kilonensis
Lactobacillus otakiensis
Streptomyces ambofaciens
Moraxella lincolnii
Blastochloris viridis
Sulfitobacter dubius
Clostridium perfringens
Alkaliflexus imshenetskii
Lacticigenium naphtae
Mycoplasma genitalium
Exiguobacterium antarcticum
Anaerobranca californiensis
Pseudomonas aeruginosa
Lactobacillus tucceti
Moraxella canis
Clostridium akagii
Rhizobium hainanense
Thermodesulfovibrio aggregans
Brevundimonas subvibrioides
Pseudomonas segetis
Delftia acidovorans
Bacteroides oleiciplenus
Aquimonas voraii
Nocardioides exalbidus
Enterococcus malodoratus
Streptomyces paucisporeus
Leptospira broomii
Spiroplasma turonicum
Gracilibacillus lacisalsi
Geothrix fermentans
Corynebacterium callunae
Muricauda ruestringensis
Bifidobacterium stercoris
Roseovarius nubinhibens
Cohnella thermotolerans
Vibrio nereis
Pseudomonas marginalis
Paracoccus solventivorans
Chrysiogenes arsenatis
Azonexus hydrophilus
Phaeospirillum fulvum
Streptomyces achromogenes
Defluviimonas denitrificans
Acinetobacter bereziniae
Enterovibrio coralii
Desulfoluna spongiiphila
Terriglobus roseus
Methylocella silvestris
Sulfurospirillum halorespirans
Streptomyces olivochromogenes
Neisseria bacilliformis
Vibrio ruber
Erythrobacter seohaensis
Adhaeribacter aquaticus
Tatumella morbirosei
Fusobacterium periodonticum
Lactobacillus manihotivorans
Deinococcus geothermalis
Mycobacterium simiae
Thermovibrio ammonificans
Nautilia profundicola
Geobacter daltonii
Budvicia aquatica
Mycobacterium bohemicum
Xanthobacter autotrophicus
Bifidobacterium actinocoloniiforme
Microscilla marina
Nocardia speluncae
Xenorhabdus szentirmaii
Salegentibacter holothuriorum
Mesotoga prima
Parvimonas micra
Streptosporangium nondiastaticum
Cedecea lapagei
Bermanella marisrubri
Caminibacter mediatlanticus
Paenibacillus stellifer
Henriciella litoralis
Desmospora activa
Streptomyces anulatus
Blautia wexlerae
Actinomyces hominis
Neisseria canis
Clostridium celatum
Arcanobacterium haemolyticum
Paraoerskovia marina
Kluyvera ascorbata
Paenibacillus tianmuensis
Leifsonia aquatica
Flavisolibacter ginsengisoli
Algoriphagus ornithinivorans
Streptomyces collinus
Anaerofustis stercorihominis
Photobacterium damselae
Aliivibrio wodanis
Streptomyces hygroscopicus
Sulfuricurvum kujiense
Bifidobacterium pseudolongum
Streptomyces rangoonensis
Acetitomaculum ruminis
Alicyclobacillus acidiphilus
Desulfuromusa kysingii
Vibrio ordalii
Alicyclobacillus herbarius
Corynebacterium efficiens
Limnohabitans planktonicus
Nocardia jejuensis
Desulfacinum hydrothermale
Herbaspirillum seropedicae
Riemerella anatipestifer
Echinicola pacifica
Deinococcus radiodurans
Streptomyces phaeoluteigriseus
Staphylococcus succinus
Actinobacillus capsulatus
Prevotella copri
Clostridium tyrobutyricum
Leptotrichia goodfellowii
Lactobacillus agilis
Ewingella americana
Legionella rubrilucens
Chlorobium phaeovibrioides
Salimicrobium halophilum
Pseudomonas sabulinigri
Rhodobium orientis
Bifidobacterium choerinum
Actinokineospora auranticolor
Chryseobacterium oranimense
Sphaerisporangium cinnabarinum
Odoribacter laneus
Sulfurospirillum barnesii
Mycoplasma pirum
Mycobacterium chimaera
Achromobacter insolitus
Desulfacinum infernum
Stenotrophomonas nitritireducens
Enterococcus ratti
Sphingopyxis baekryungensis
Bacillus siamensis
Pseudomonas chlororaphis
Corynebacterium glaucum
Streptomyces yunnanensis
Sphingomonas dokdonensis
Clostridium difficile
Corynebacterium mustelae
Gracilibacillus kekensis
Nocardia nova
